,Address,Lat,Long,Area,Asking,Bathrooms,Bedrooms,Built Year,Developer,District,facilities,Floor,Furnish,HDB Town,Model,No. of Units,Property Name,Property Type,PSF,Tenure,X-Valuation,DistrictValue
1,6 Derbyshire Road (309462),1.315787883,103.8460409,474,1082000,1,1,2017,Fantasia (Novena) Pte Ltd,D11 - Newton / Novena,Children Playground|Gymnasium|Bbq Pits|Spa Pool|Pavilion|Simming Pool|Reflective Pool|Community Sky Garden|Swimming Pool View|Renovated|Park/greenery View|City View|Air Conditioning|Intercom|Cooker Hob/hood|Air Conditioning|Water Heater|Balcony,24,Partially Furnished,NA,Condominium,168,6 Derbyshire,Condominium,2283,FREEHOLD,NA,11
2,1 Fraser Street (189350),1.30013,103.857268,1841,4347088,3,4,2017,Ophir-Rochor Residential Pte. Ltd.,D7 - Beach Road / Bugis / Rochor,Children's Pool|Kid's Play Area|Function Room|50M Lap Pool With Spa Seats|Outdoor Living Room|Reflective Pool|Sun Deck|Jacuzzi|Teppanyaki Terraces|Aqua Gym Equipment|Sky Pool|Patio Gym|Gymnasium|Original Condition|City View|Air Conditioning|Intercom|Cooker Hob/hood|Balcony,41,Partially Furnished,NA,Apartment,660,Duo Residences,Apartment,2361,LEASEHOLD/99 years,NA,7
3,1 Lorong 5 Toa Payoh (319458),1.338755576,103.8508219,947,1642000,2,3,2020,GEM Homes Pte Ltd,D12 - Balestier / Toa Payoh,Original Condition|Park/greenery View|Swimming Pool View|Intercom|Water Heater|Air Conditioning|Cooker Hob/hood|Balcony|Walk-in-wardrobe,9,Partially Furnished,NA,Condominium,578,Gem Residences,Condominium,1734,LEASEHOLD/99 years,NA,12
4,64 Upper Serangoon View (533886),1.374518423,103.9033045,850,1138000,2,3,2017,Kingsford Property Development Pte Ltd,D19 - Hougang / Punggol / Sengkang,Original Condition|Park/greenery View|Air Conditioning|Intercom|Water Heater|Cooker Hob/hood|Balcony|Walk-in-wardrobe,8,Partially Furnished,NA,Apartment,1165,Kingsford Waterbay,Apartment,1339,LEASEHOLD/99 years,NA,19
5,6 Derbyshire Road (309462),1.315787883,103.8460409,474,1774128,1,1,2017,Fantasia (Novena) Pte Ltd,D11 - Newton / Novena,Reflective Pool|Spa Pool|Bbq Pits|Pavilion|Simming Pool|Community Sky Garden|Gymnasium|Children Playground|Renovated|Park/greenery View|Intercom|Cooker Hob/hood|Water Heater|Air Conditioning|Balcony|Walk-in-wardrobe,14,Not Furnished,NA,Condominium,168,6 Derbyshire,Condominium,3743,FREEHOLD,NA,11
6,64 Upper Serangoon View (533886),1.374518423,103.9033045,678,978000,2,2,2017,Kingsford Property Development Pte Ltd,D19 - Hougang / Punggol / Sengkang,Park/greenery View|Original Condition|Hairdryer|Water Heater|Balcony|Walk-in-wardrobe,2,Partially Furnished,NA,Apartment,1165,Kingsford Waterbay,Apartment,1442,LEASEHOLD/99 years,NA,19
7,6 Derbyshire Road (309462),1.315787883,103.8460409,474,1774128,1,1,2017,Fantasia (Novena) Pte Ltd,D11 - Newton / Novena,Gymnasium|Spa Pool|Simming Pool|Pavilion|Bbq Pits|Community Sky Garden|Children Playground|Reflective Pool|Park/greenery View|Original Condition|Air Conditioning|Hairdryer|Intercom|Water Heater|Cooker Hob/hood|Balcony|Walk-in-wardrobe,11,Not Furnished,NA,Condominium,168,6 Derbyshire,Condominium,3743,FREEHOLD,NA,11
8,1 Fraser Street (189350),1.30013,103.857268,1927,3727232,4,4+1,2017,Ophir-Rochor Residential Pte. Ltd.,D7 - Beach Road / Bugis / Rochor,Kid's Play Area|Sun Deck|Aqua Gym Equipment|Sky Pool|50M Lap Pool With Spa Seats|Reflective Pool|Function Room|Jacuzzi|Teppanyaki Terraces|Gymnasium|Children's Pool|Patio Gym|Outdoor Living Room|Corner Unit|City View|Renovated|Air Conditioning|Hairdryer|Intercom|Water Heater|Cooker Hob/hood|Balcony|Maidsroom|Walk-in-wardrobe,47,Partially Furnished,NA,Apartment,660,Duo Residences,Apartment,1934,LEASEHOLD/99 years,NA,7
9,1 Fraser Street (189350),1.30013,103.857268,1528,4797900,3,4,NA,Ophir-Rochor Residential Pte. Ltd.,D7 - Beach Road / Bugis / Rochor,Jacuzzi|Aqua Gym Equipment|Patio Gym|Outdoor Living Room|Gymnasium|Sky Pool|Reflective Pool|Children's Pool|50M Lap Pool With Spa Seats|Teppanyaki Terraces|Kid's Play Area|Function Room|Sun Deck|City View|Original Condition|Park/greenery View|Air Conditioning|Cooker Hob/hood|Intercom|Jacuzzi|Water Heater|Balcony|Walk-in-wardrobe,43,Partially Furnished,NA,Apartment,660,Duo Residences,Apartment,3140,LEASEHOLD/99 years,NA,7
10,1 Fraser Street (189350),1.30013,103.857268,1927,4040000,4,4,2017,Ophir-Rochor Residential Pte. Ltd.,D7 - Beach Road / Bugis / Rochor,Teppanyaki Terraces|Sky Pool|Function Room|Aqua Gym Equipment|Jacuzzi|Outdoor Living Room|Children's Pool|50M Lap Pool With Spa Seats|Reflective Pool|Gymnasium|Patio Gym|Kid's Play Area|Sun Deck|Corner Unit|City View|Colonial Building|Swimming Pool View|Sea View|Park/greenery View|Air Conditioning|Cooker Hob/hood|Bathtub|Water Heater|Intercom|Balcony|Maidsroom,48,Partially Furnished,NA,Apartment,660,Duo Residences,Apartment,2097,LEASEHOLD/99 years,NA,7
11,1 Dundee Road (149456),1.294827941,103.8067413,775,1556000,2,2,2020,HY Realty (Dundee) Pte Ltd,D3 - Alexandra / Commonwealth,Original Condition|Park/greenery View|Air Conditioning|Intercom|Water Heater|Cooker Hob/hood|Balcony|Walk-in-wardrobe,22,Partially Furnished,NA,Condominium,736,Queens Peak,Condominium,2008,LEASEHOLD/99 years,NA,3
12,21 Marina Way (018978),1.276714985,103.8533269,1518,3577000,3,3,2017,MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd,D1 - Boat Quay / Raffles Place / Marina,Corner Unit|Park/greenery View|Sea View|City View|Air Conditioning|Intercom|Water Heater|Cooker Hob/hood|Private Lift|Bathtub|Balcony|Walk-in-wardrobe|Maidsroom,21,Partially Furnished,NA,Apartment,1042,Marina One Residences,Apartment,2356,LEASEHOLD/99 years,NA,1
13,3 Lorong 5 Toa Payoh (319459),1.339281457,103.8513604,947,1640000,2,3,NA,GEM Homes Pte Ltd,D12 - Balestier / Toa Payoh,Park/greenery View|Renovated|City View|Air Conditioning|Water Heater|Intercom|Cooker Hob/hood|Balcony,26,NA,NA,Condominium,578,Gem Residences,Condominium,1732,LEASEHOLD/99 years,NA,12
14,1 Dundee Road (149456),1.294827941,103.8067413,947,1423000,2,3,NA,HY Realty (Dundee) Pte Ltd,D3 - Alexandra / Commonwealth,Corner Unit|Renovated|City View|Air Conditioning|Cooker Hob/hood|Private Lift|Balcony,24,NA,NA,Condominium,736,Queens Peak,Condominium,1503,LEASEHOLD/99 years,NA,3
15,1 Fraser Street (189350),1.30013,103.857268,1528,4215100,3,3,2017,Ophir-Rochor Residential Pte. Ltd.,D7 - Beach Road / Bugis / Rochor,Sky Pool|Jacuzzi|Reflective Pool|Function Room|Gymnasium|Teppanyaki Terraces|Kid's Play Area|Children's Pool|Patio Gym|50M Lap Pool With Spa Seats|Aqua Gym Equipment|Sun Deck|Outdoor Living Room|Original Condition|Park/greenery View|Air Conditioning|Water Heater|Intercom|Cooker Hob/hood|Balcony|Walk-in-wardrobe,40,Partially Furnished,NA,Apartment,660,Duo Residences,Apartment,2759,LEASEHOLD/99 years,NA,7
16,1 Lorong 5 Toa Payoh (319458),1.338755576,103.8508219,947,1642000,1,3,2020,GEM Homes Pte Ltd,D12 - Balestier / Toa Payoh,City View|Original Condition|Air Conditioning|Intercom|Cooker Hob/hood|Water Heater|Balcony|Walk-in-wardrobe,9,Partially Furnished,NA,Condominium,578,Gem Residences,Condominium,1734,LEASEHOLD/99 years,NA,12
17,21 Marina Way (018978),1.276714985,103.8533269,1119,2793950,NA,2,NA,MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd,D1 - Boat Quay / Raffles Place / Marina,Renovated|Park/greenery View|Original Condition|Intercom|Cooker Hob/hood|Water Heater|Air Conditioning|Balcony|Walk-in-wardrobe,28,NA,NA,Apartment,1042,Marina One Residences,Apartment,2497,LEASEHOLD/99 years,NA,1
18,1 Dundee Road (149456),1.294827941,103.8067413,775,1556000,2,2,2020,HY Realty (Dundee) Pte Ltd,D3 - Alexandra / Commonwealth,Original Condition|Park/greenery View|Air Conditioning|Intercom|Water Heater|Cooker Hob/hood|Balcony|Walk-in-wardrobe,22,Partially Furnished,NA,Condominium,736,Queens Peak,Condominium,2008,LEASEHOLD/99 years,NA,3
19,5 Shenton Way (068808),1.277497393,103.8494262,1755,3888000,NA,3,2017,UIC Investments (Properties) Pte Ltd,D1 - Boat Quay / Raffles Place / Marina,Spa Pool|Splash Zone|Cinnamon Scent|Club Lounge|Outback Grill|Playscape|Garden Lounge|Epicurean Dining|Bubbly Bay|Aqua Gym|Sun Deck|Junior Pool|Day Bed Island|Spice Botanics|Indoor Gymnasium|Refreshment Bar|Cloves Hedge|Surf Lounge|Outdoor Fitness|City View|Air Conditioning|Cooker Hob/hood|Bathtub|Balcony,40,NA,NA,Apartment,510,V on Shenton,Apartment,2215,LEASEHOLD/99 years,NA,1
20,66 Lorong L Telok Kurau (425509),1.311270987,103.9103273,1249,1300000,2,2,2013,Asimont Holdings Pte Ltd,D15 - East Coast / Marine Parade,Renovated|City View|Jacuzzi|Air Conditioning|Cooker Hob/hood|Water Heater|Balcony,5,NA,NA,Penthouse,44,Laverne's Loft,Apartment,1041,FREEHOLD,NA,15
21,1 Fraser Street (189350),1.30013,103.857268,1927,4128300,NA,4,2017,Ophir-Rochor Residential Pte. Ltd.,D7 - Beach Road / Bugis / Rochor,Aqua Gym Equipment|Reflective Pool|Teppanyaki Terraces|Patio Gym|Function Room|Sky Pool|Outdoor Living Room|Sun Deck|50M Lap Pool With Spa Seats|Jacuzzi|Kid's Play Area|Children's Pool|Gymnasium|Sea View|City View|Bathtub|Intercom|Cooker Hob/hood|Air Conditioning|Water Heater|Balcony,36,NA,NA,Apartment,660,Duo Residences,Apartment,2142,LEASEHOLD/99 years,NA,7
22,76 Upper Serangoon View (533880),1.375038315,103.9039101,850,1115341,NA,3,NA,Kingsford Property Development Pte Ltd,D19 - Hougang / Punggol / Sengkang,Air Conditioning|Cooker Hob/hood,15,NA,NA,Apartment,1165,Kingsford Waterbay,Apartment,1312,LEASEHOLD/99 years,NA,19
